2019/05/06 16:17:46.803 [D]  init logger success!
2019/05/06 16:17:46.826 [D]  ectdKey: /logagent/config/169.254.34.53
2019/05/06 16:17:47.157 [D]  resp from etcd:[]
2019/05/06 16:17:47.157 [D]  ectdKey: /logagent/config/169.254.252.17
2019/05/06 16:17:47.157 [D]  resp from etcd:[]
2019/05/06 16:17:47.157 [D]  ectdKey: /logagent/config/172.17.183.1
2019/05/06 16:17:47.158 [D]  resp from etcd:[]
2019/05/06 16:17:47.158 [D]  ectdKey: /logagent/config/169.254.122.129
2019/05/06 16:17:47.159 [D]  resp from etcd:[]
2019/05/06 16:17:47.159 [D]  ectdKey: /logagent/config/172.26.66.1
2019/05/06 16:17:47.159 [D]  resp from etcd:[]
2019/05/06 16:17:47.159 [D]  ectdKey: /logagent/config/192.168.31.224
2019/05/06 16:17:47.161 [D]  resp from etcd:[key:"/logagent/config/192.168.31.224" create_revision:26 mod_revision:28 version:3 value:"[{\"logpath\":\"D:/project/src/go_dev/day11/logagent/logs/logagent.log\",\"topic\":\"test\",\"ChanSize\":0}]" ]
2019/05/06 16:17:47.161 [D]  log config is [{D:/project/src/go_dev/day11/logagent/logs/logagent.log test 0}]
2019/05/06 16:17:47.161 [D]  init etcd success!
2019/05/06 16:17:47.161 [D]  init tailf success!
2019/05/06 16:17:47.166 [D]  init Kafka succ!
2019/05/06 16:17:47.166 [D]  init kafka success!
2019/05/06 16:17:47.166 [D]  init all success!
2019/05/06 16:17:50.851 [D]  pid:0 offset:34040 topic:test
2019/05/06 16:17:50.912 [D]  pid:0 offset:34041 topic:test
2019/05/06 16:17:50.915 [D]  pid:0 offset:34042 topic:test
2019/05/06 16:17:51.080 [D]  pid:0 offset:34043 topic:test
2019/05/06 16:17:51.081 [D]  pid:0 offset:34044 topic:test
2019/05/06 16:17:51.083 [D]  pid:0 offset:34045 topic:test
2019/05/06 16:17:51.340 [D]  pid:0 offset:34046 topic:test
2019/05/06 16:17:51.346 [D]  pid:0 offset:34047 topic:test
2019/05/06 16:17:51.351 [D]  pid:0 offset:34048 topic:test
2019/05/06 16:17:51.582 [D]  pid:0 offset:34049 topic:test
2019/05/06 16:17:51.583 [D]  pid:0 offset:34050 topic:test
2019/05/06 16:17:51.585 [D]  pid:0 offset:34051 topic:test
2019/05/06 16:17:51.833 [D]  pid:0 offset:34052 topic:test
2019/05/06 16:17:51.835 [D]  pid:0 offset:34053 topic:test
2019/05/06 16:17:51.838 [D]  pid:0 offset:34054 topic:test
2019/05/06 16:17:52.083 [D]  pid:0 offset:34055 topic:test
2019/05/06 16:17:52.085 [D]  pid:0 offset:34056 topic:test
2019/05/06 16:17:52.087 [D]  pid:0 offset:34057 topic:test
2019/05/06 16:17:52.341 [D]  pid:0 offset:34058 topic:test
2019/05/06 16:17:52.350 [D]  pid:0 offset:34059 topic:test
2019/05/06 16:17:52.363 [D]  pid:0 offset:34060 topic:test
2019/05/06 16:17:52.589 [D]  pid:0 offset:34061 topic:test
2019/05/06 16:17:52.592 [D]  pid:0 offset:34062 topic:test
2019/05/06 16:17:52.594 [D]  pid:0 offset:34063 topic:test
2019/05/06 16:17:52.835 [D]  pid:0 offset:34064 topic:test
2019/05/06 16:17:52.837 [D]  pid:0 offset:34065 topic:test
2019/05/06 16:17:52.839 [D]  pid:0 offset:34066 topic:test
2019/05/06 16:17:53.086 [D]  pid:0 offset:34067 topic:test
2019/05/06 16:17:53.089 [D]  pid:0 offset:34068 topic:test
2019/05/06 16:17:53.100 [D]  pid:0 offset:34069 topic:test
2019/05/06 16:17:53.339 [D]  pid:0 offset:34070 topic:test
2019/05/06 16:17:53.343 [D]  pid:0 offset:34071 topic:test
2019/05/06 16:17:53.345 [D]  pid:0 offset:34072 topic:test
2019/05/06 16:17:53.588 [D]  pid:0 offset:34073 topic:test
2019/05/06 16:17:53.590 [D]  pid:0 offset:34074 topic:test
2019/05/06 16:17:53.600 [D]  pid:0 offset:34075 topic:test
2019/05/06 16:17:53.838 [D]  pid:0 offset:34076 topic:test
2019/05/06 16:17:53.840 [D]  pid:0 offset:34077 topic:test
2019/05/06 16:17:53.842 [D]  pid:0 offset:34078 topic:test
2019/05/06 16:17:54.089 [D]  pid:0 offset:34079 topic:test
2019/05/06 16:17:54.093 [D]  pid:0 offset:34080 topic:test
2019/05/06 16:17:54.095 [D]  pid:0 offset:34081 topic:test
2019/05/06 16:17:54.352 [D]  pid:0 offset:34082 topic:test
2019/05/06 16:17:54.359 [D]  pid:0 offset:34083 topic:test
2019/05/06 16:17:54.362 [D]  pid:0 offset:34084 topic:test
2019/05/06 16:17:54.597 [D]  pid:0 offset:34085 topic:test
2019/05/06 16:17:54.599 [D]  pid:0 offset:34086 topic:test
2019/05/06 16:17:54.606 [D]  pid:0 offset:34087 topic:test
2019/05/06 16:17:54.856 [D]  pid:0 offset:34088 topic:test
2019/05/06 16:17:54.861 [D]  pid:0 offset:34089 topic:test
2019/05/06 16:17:54.870 [D]  pid:0 offset:34090 topic:test
2019/05/06 16:17:55.124 [D]  pid:0 offset:34091 topic:test
2019/05/06 16:17:55.127 [D]  pid:0 offset:34092 topic:test
2019/05/06 16:17:55.130 [D]  pid:0 offset:34093 topic:test
2019/05/06 16:17:55.367 [D]  pid:0 offset:34094 topic:test
2019/05/06 16:17:55.369 [D]  pid:0 offset:34095 topic:test
2019/05/06 16:17:55.370 [D]  pid:0 offset:34096 topic:test
2019/05/06 16:17:55.630 [D]  pid:0 offset:34097 topic:test
2019/05/06 16:17:55.634 [D]  pid:0 offset:34098 topic:test
2019/05/06 16:17:55.637 [D]  pid:0 offset:34099 topic:test
